,ts_code,name
0,000001.SZ,平安银行
1,000002.SZ,万科A
2,000004.SZ,国华网安
4,000006.SZ,深振业A
6,000008.SZ,神州高铁
7,000009.SZ,中国宝安
8,000010.SZ,美丽生态
9,000011.SZ,深物业A
10,000012.SZ,南玻A
11,000014.SZ,沙河股份
12,000016.SZ,深康佳A
13,000017.SZ,深中华A
14,000019.SZ,深粮控股
15,000020.SZ,深华发A
16,000021.SZ,深科技
18,000025.SZ,特力A
19,000026.SZ,飞亚达
20,000027.SZ,深圳能源
21,000028.SZ,国药一致
22,000029.SZ,深深房A
23,000030.SZ,富奥股份
24,000031.SZ,大悦城
25,000032.SZ,深桑达A
26,000034.SZ,神州数码
27,000035.SZ,中国天楹
28,000036.SZ,华联控股
29,000037.SZ,深南电A
30,000039.SZ,中集集团
31,000040.SZ,东旭蓝天
32,000042.SZ,中洲控股
33,000045.SZ,深纺织A
34,000048.SZ,京基智农
35,000049.SZ,德赛电池
36,000050.SZ,深天马A
37,000055.SZ,方大集团
38,000056.SZ,皇庭国际
39,000058.SZ,深赛格
40,000059.SZ,华锦股份
41,000060.SZ,中金岭南
42,000061.SZ,农产品
43,000062.SZ,深圳华强
44,000063.SZ,中兴通讯
45,000065.SZ,北方国际
46,000066.SZ,中国长城
47,000068.SZ,华控赛格
48,000069.SZ,华侨城A
49,000070.SZ,特发信息
50,000078.SZ,海王生物
51,000088.SZ,盐田港
52,000089.SZ,深圳机场
53,000090.SZ,天健集团
54,000096.SZ,广聚能源
55,000099.SZ,中信海直
56,000100.SZ,TCL科技
57,000151.SZ,中成股份
58,000153.SZ,丰原药业
59,000155.SZ,川能动力
60,000156.SZ,华数传媒
61,000157.SZ,中联重科
62,000158.SZ,常山北明
63,000159.SZ,国际实业
64,000166.SZ,申万宏源
65,000301.SZ,东方盛虹
66,000333.SZ,美的集团
67,000338.SZ,潍柴动力
68,000400.SZ,许继电气
69,000401.SZ,冀东水泥
70,000402.SZ,金融街
71,000403.SZ,派林生物
72,000404.SZ,长虹华意
73,000407.SZ,胜利股份
74,000408.SZ,藏格矿业
75,000409.SZ,云鼎科技
76,000410.SZ,沈阳机床
77,000411.SZ,英特集团
78,000413.SZ,东旭光电
79,000415.SZ,渤海租赁
81,000417.SZ,合肥百货
82,000419.SZ,通程控股
83,000420.SZ,吉林化纤
84,000421.SZ,南京公用
85,000422.SZ,湖北宜化
86,000423.SZ,东阿阿胶
87,000425.SZ,徐工机械
88,000426.SZ,兴业银锡
89,000428.SZ,华天酒店
90,000429.SZ,粤高速A
91,000430.SZ,张家界
92,000488.SZ,晨鸣纸业
93,000498.SZ,山东路桥
94,000501.SZ,武商集团
95,000503.SZ,国新健康
96,000504.SZ,南华生物
97,000505.SZ,京粮控股
98,000506.SZ,中润资源
99,000507.SZ,珠海港
100,000509.SZ,华塑控股
101,000510.SZ,新金路
102,000513.SZ,丽珠集团
103,000514.SZ,渝开发
104,000516.SZ,国际医学
105,000517.SZ,荣安地产
106,000518.SZ,四环生物
107,000519.SZ,中兵红箭
108,000520.SZ,凤凰航运
109,000521.SZ,长虹美菱
110,000523.SZ,红棉股份
111,000524.SZ,岭南控股
113,000526.SZ,学大教育
114,000528.SZ,柳工
115,000529.SZ,广弘控股
116,000530.SZ,冰山冷热
117,000531.SZ,穗恒运A
118,000532.SZ,华金资本
119,000533.SZ,顺钠股份
120,000534.SZ,万泽股份
121,000536.SZ,华映科技
122,000537.SZ,中绿电
123,000538.SZ,云南白药
124,000539.SZ,粤电力A
125,000541.SZ,佛山照明
126,000543.SZ,皖能电力
127,000544.SZ,中原环保
128,000545.SZ,金浦钛业
129,000546.SZ,金圆股份
130,000547.SZ,航天发展
131,000548.SZ,湖南投资
132,000550.SZ,江铃汽车
133,000551.SZ,创元科技
134,000552.SZ,甘肃能化
135,000553.SZ,安道麦A
136,000554.SZ,泰山石油
137,000555.SZ,神州信息
138,000557.SZ,西部创业
139,000558.SZ,莱茵体育
140,000559.SZ,万向钱潮
141,000560.SZ,我爱我家
142,000561.SZ,烽火电子
143,000563.SZ,陕国投A
145,000565.SZ,渝三峡A
146,000566.SZ,海南海药
147,000567.SZ,海德股份
148,000568.SZ,泸州老窖
