,ts_code,name,industry
0,000001.SZ,平安银行,银行
1,000002.SZ,万科A,全国地产
2,000004.SZ,国华网安,软件服务
3,000006.SZ,深振业A,区域地产
4,000008.SZ,神州高铁,运输设备
5,000009.SZ,中国宝安,电气设备
6,000010.SZ,美丽生态,建筑工程
7,000011.SZ,深物业A,区域地产
8,000012.SZ,南玻A,玻璃
9,000014.SZ,沙河股份,全国地产
10,000016.SZ,深康佳A,家用电器
11,000017.SZ,深中华A,服饰
12,000019.SZ,深粮控股,农业综合
13,000020.SZ,深华发A,元器件
14,000021.SZ,深科技,元器件
15,000025.SZ,特力A,汽车服务
16,000026.SZ,飞亚达,服饰
17,000027.SZ,深圳能源,火力发电
18,000028.SZ,国药一致,医药商业
19,000029.SZ,深深房A,区域地产
20,000030.SZ,富奥股份,汽车配件
21,000031.SZ,大悦城,全国地产
22,000032.SZ,深桑达A,建筑工程
23,000034.SZ,神州数码,软件服务
24,000035.SZ,中国天楹,环境保护
25,000036.SZ,华联控股,全国地产
26,000037.SZ,深南电A,火力发电
27,000039.SZ,中集集团,运输设备
28,000040.SZ,东旭蓝天,新型电力
29,000042.SZ,中洲控股,全国地产
30,000045.SZ,深纺织A,元器件
31,000048.SZ,京基智农,区域地产
32,000049.SZ,德赛电池,电气设备
33,000050.SZ,深天马A,元器件
34,000055.SZ,方大集团,装修装饰
35,000056.SZ,皇庭国际,房产服务
36,000058.SZ,深赛格,商品城
37,000059.SZ,华锦股份,石油加工
38,000060.SZ,中金岭南,铅锌
39,000061.SZ,农产品,农业综合
40,000062.SZ,深圳华强,元器件
41,000063.SZ,中兴通讯,通信设备
42,000065.SZ,北方国际,建筑工程
43,000066.SZ,中国长城,IT设备
44,000068.SZ,华控赛格,环境保护
45,000069.SZ,华侨城A,全国地产
46,000070.SZ,特发信息,通信设备
47,000078.SZ,海王生物,医药商业
48,000088.SZ,盐田港,港口
49,000089.SZ,深圳机场,机场
50,000090.SZ,天健集团,建筑工程
51,000096.SZ,广聚能源,石油贸易
52,000099.SZ,中信海直,空运
53,000100.SZ,TCL科技,元器件
54,000151.SZ,中成股份,商贸代理
55,000153.SZ,丰原药业,化学制药
56,000155.SZ,川能动力,新型电力
57,000156.SZ,华数传媒,影视音像
58,000157.SZ,中联重科,工程机械
59,000158.SZ,常山北明,软件服务
60,000159.SZ,国际实业,石油贸易
61,000166.SZ,申万宏源,证券
62,000301.SZ,东方盛虹,化纤
63,000333.SZ,美的集团,家用电器
64,000338.SZ,潍柴动力,汽车配件
65,000400.SZ,许继电气,电气设备
66,000401.SZ,冀东水泥,水泥
67,000402.SZ,金融街,全国地产
68,000403.SZ,派林生物,生物制药
69,000404.SZ,长虹华意,家用电器
70,000407.SZ,胜利股份,供气供热
71,000408.SZ,藏格矿业,农药化肥
72,000409.SZ,云鼎科技,软件服务
73,000410.SZ,沈阳机床,机床制造
74,000411.SZ,英特集团,医药商业
75,000413.SZ,东旭光电,元器件
76,000415.SZ,渤海租赁,多元金融
77,000417.SZ,合肥百货,百货
78,000419.SZ,通程控股,百货
79,000420.SZ,吉林化纤,化纤
80,000421.SZ,南京公用,供气供热
81,000422.SZ,湖北宜化,农药化肥
82,000423.SZ,东阿阿胶,中成药
83,000425.SZ,徐工机械,工程机械
84,000426.SZ,兴业银锡,铅锌
85,000428.SZ,华天酒店,酒店餐饮
86,000429.SZ,粤高速A,路桥
87,000430.SZ,张家界,旅游景点
88,000488.SZ,晨鸣纸业,造纸
89,000498.SZ,山东路桥,建筑工程
90,000501.SZ,武商集团,百货
91,000503.SZ,国新健康,软件服务
92,000504.SZ,南华生物,医疗保健
93,000505.SZ,京粮控股,食品
94,000506.SZ,中润资源,黄金
95,000507.SZ,珠海港,港口
96,000509.SZ,华塑控股,元器件
97,000510.SZ,新金路,化工原料
98,000513.SZ,丽珠集团,化学制药
99,000514.SZ,渝开发,区域地产
100,000516.SZ,国际医学,医疗保健
101,000517.SZ,荣安地产,区域地产
102,000518.SZ,四环生物,生物制药
103,000519.SZ,中兵红箭,专用机械
104,000520.SZ,凤凰航运,水运
105,000521.SZ,长虹美菱,家用电器
106,000523.SZ,红棉股份,日用化工
107,000524.SZ,岭南控股,旅游服务
108,000526.SZ,学大教育,文教休闲
109,000528.SZ,柳工,工程机械
110,000529.SZ,广弘控股,食品
111,000530.SZ,冰山冷热,机械基件
112,000531.SZ,穗恒运A,火力发电
113,000532.SZ,华金资本,多元金融
114,000533.SZ,顺钠股份,电气设备
115,000534.SZ,万泽股份,生物制药
116,000536.SZ,华映科技,元器件
117,000537.SZ,中绿电,新型电力
118,000538.SZ,云南白药,中成药
119,000539.SZ,粤电力A,火力发电
120,000541.SZ,佛山照明,家用电器
121,000543.SZ,皖能电力,火力发电
122,000544.SZ,中原环保,环境保护
123,000545.SZ,金浦钛业,化工原料
124,000546.SZ,金圆股份,环境保护
125,000547.SZ,航天发展,通信设备
126,000548.SZ,湖南投资,路桥
127,000550.SZ,江铃汽车,汽车整车
128,000551.SZ,创元科技,专用机械
129,000552.SZ,甘肃能化,煤炭开采
130,000553.SZ,安道麦A,农药化肥
131,000554.SZ,泰山石油,石油贸易
132,000555.SZ,神州信息,软件服务
133,000557.SZ,西部创业,铁路
134,000558.SZ,莱茵体育,文教休闲
135,000559.SZ,万向钱潮,汽车配件
136,000560.SZ,我爱我家,房产服务
137,000561.SZ,烽火电子,通信设备
138,000563.SZ,陕国投A,多元金融
139,000565.SZ,渝三峡A,染料涂料
140,000566.SZ,海南海药,化学制药
141,000567.SZ,海德股份,多元金融
142,000568.SZ,泸州老窖,白酒
143,000570.SZ,苏常柴A,农用机械
144,000571.SZ,新大洲A,煤炭开采
145,000572.SZ,海马汽车,汽车整车
146,000573.SZ,粤宏远A,电气设备
147,000576.SZ,甘化科工,食品
148,000581.SZ,威孚高科,汽车配件
149,000582.SZ,北部湾港,港口
150,000586.SZ,汇源通信,通信设备
151,000589.SZ,贵州轮胎,汽车配件
152,000590.SZ,启迪药业,中成药
153,000591.SZ,太阳能,新型电力
154,000592.SZ,平潭发展,林业
155,000593.SZ,德龙汇能,供气供热
156,000595.SZ,宝塔实业,机械基件
157,000596.SZ,古井贡酒,白酒
158,000597.SZ,东北制药,化学制药
159,000598.SZ,兴蓉环境,水务
160,000599.SZ,青岛双星,汽车配件
161,000600.SZ,建投能源,火力发电
162,000601.SZ,韶能股份,水力发电
163,000603.SZ,盛达资源,铅锌
164,000605.SZ,渤海股份,供气供热
165,000607.SZ,华媒控股,广告包装
166,000608.SZ,阳光股份,区域地产
167,000609.SZ,中迪投资,区域地产
168,000610.SZ,西安旅游,旅游服务
169,000612.SZ,焦作万方,铝
170,000617.SZ,中油资本,多元金融
171,000619.SZ,海螺新材,其他建材
172,000622.SZ,恒立实业,批发业
173,000623.SZ,吉林敖东,中成药
174,000625.SZ,长安汽车,汽车整车
175,000626.SZ,远大控股,商贸代理
176,000627.SZ,天茂集团,保险
177,000628.SZ,高新发展,建筑工程
178,000629.SZ,钒钛股份,小金属
179,000630.SZ,铜陵有色,铜
180,000631.SZ,顺发恒业,综合类
181,000632.SZ,三木集团,综合类
182,000633.SZ,合金投资,小金属
183,000635.SZ,英力特,化工原料
184,000636.SZ,风华高科,元器件
185,000638.SZ,万方发展,农业综合
186,000639.SZ,西王食品,食品
187,000650.SZ,仁和药业,中成药
188,000651.SZ,格力电器,家用电器
189,000652.SZ,泰达股份,批发业
190,000655.SZ,金岭矿业,普钢
191,000656.SZ,金科股份,全国地产
192,000657.SZ,中钨高新,小金属
193,000659.SZ,珠海中富,广告包装
194,000661.SZ,长春高新,生物制药
195,000663.SZ,永安林业,林业
196,000665.SZ,湖北广电,影视音像
197,000668.SZ,荣丰控股,医药商业
198,000670.SZ,盈方微,元器件
199,000672.SZ,上峰水泥,水泥
200,000676.SZ,智度股份,互联网
201,000677.SZ,恒天海龙,化纤
202,000678.SZ,襄阳轴承,汽车配件
203,000679.SZ,大连友谊,百货
204,000680.SZ,山推股份,工程机械
205,000681.SZ,视觉中国,互联网
206,000682.SZ,东方电子,电气设备
207,000683.SZ,远兴能源,化工原料
208,000685.SZ,中山公用,水务
209,000686.SZ,东北证券,证券
210,000688.SZ,国城矿业,铅锌
211,000690.SZ,宝新能源,火力发电
212,000691.SZ,亚太实业,化工原料
213,000695.SZ,滨海能源,广告包装
214,000698.SZ,沈阳化工,石油加工
215,000700.SZ,模塑科技,汽车配件
216,000701.SZ,厦门信达,商贸代理
217,000702.SZ,正虹科技,饲料
218,000703.SZ,恒逸石化,化纤
219,000705.SZ,浙江震元,医药商业
220,000707.SZ,双环科技,化工原料
221,000708.SZ,中信特钢,特种钢
222,000709.SZ,河钢股份,普钢
223,000710.SZ,贝瑞基因,医疗保健
224,000712.SZ,锦龙股份,证券
225,000713.SZ,丰乐种业,种植业
226,000715.SZ,中兴商业,百货
227,000716.SZ,黑芝麻,食品
228,000717.SZ,中南股份,普钢
229,000718.SZ,苏宁环球,区域地产
230,000719.SZ,中原传媒,出版业
231,000720.SZ,新能泰山,电气设备
232,000721.SZ,西安饮食,酒店餐饮
233,000722.SZ,湖南发展,其他建材
234,000723.SZ,美锦能源,焦炭加工
235,000725.SZ,京东方A,元器件
236,000726.SZ,鲁泰A,纺织
237,000727.SZ,冠捷科技,元器件
238,000728.SZ,国元证券,证券
239,000729.SZ,燕京啤酒,啤酒
240,000731.SZ,四川美丰,农药化肥
241,000733.SZ,振华科技,元器件
242,000735.SZ,罗牛山,农业综合
243,000736.SZ,中交地产,全国地产
244,000737.SZ,北方铜业,铜
245,000738.SZ,航发控制,航空
246,000739.SZ,普洛药业,化学制药
247,000750.SZ,国海证券,证券
248,000751.SZ,锌业股份,铅锌
249,000753.SZ,漳州发展,汽车服务
250,000755.SZ,山西路桥,路桥
251,000756.SZ,新华制药,化学制药
252,000757.SZ,浩物股份,汽车服务
253,000758.SZ,中色股份,铅锌
254,000759.SZ,中百集团,超市连锁
255,000761.SZ,本钢板材,普钢
256,000762.SZ,西藏矿业,小金属
257,000766.SZ,通化金马,化学制药
258,000767.SZ,晋控电力,火力发电
259,000768.SZ,中航西飞,航空
260,000776.SZ,广发证券,证券
261,000777.SZ,中核科技,机械基件
262,000778.SZ,新兴铸管,钢加工
263,000779.SZ,甘咨询,建筑工程
264,000782.SZ,美达股份,化纤
265,000783.SZ,长江证券,证券
266,000785.SZ,居然之家,百货
267,000786.SZ,北新建材,其他建材
268,000788.SZ,北大医药,化学制药
269,000789.SZ,万年青,水泥
270,000790.SZ,华神科技,中成药
271,000791.SZ,甘肃能源,水力发电
272,000792.SZ,盐湖股份,农药化肥
273,000793.SZ,华闻集团,出版业
274,000795.SZ,英洛华,矿物制品
275,000797.SZ,中国武夷,全国地产
276,000798.SZ,中水渔业,渔业
277,000799.SZ,酒鬼酒,白酒
278,000800.SZ,一汽解放,汽车整车
279,000801.SZ,四川九洲,家用电器
280,000802.SZ,北京文化,影视音像
281,000803.SZ,山高环能,环境保护
282,000807.SZ,云铝股份,铝
283,000809.SZ,铁岭新城,区域地产
284,000810.SZ,创维数字,家用电器
285,000811.SZ,冰轮环境,工程机械
286,000812.SZ,陕西金叶,广告包装
287,000813.SZ,德展健康,化学制药
288,000815.SZ,美利云,造纸
289,000816.SZ,智慧农业,农用机械
290,000818.SZ,航锦科技,化工原料
291,000819.SZ,岳阳兴长,石油加工
